Airport Code,Airport Name,City Name,Country Name,,,,,,,
YCB,Cambridge Bay,Cambridge Bay,Canada,,,,,,,
YKD,Township Airport,Kincardine,Canada,,,,,,,
UPF,Pforheim,Pforheim,Germany,,,,,,,
IXB,Bagdogra,Bagdogra,India,,,,,,,
IMK,Simikot,Simikot,Nepal,,,,,,,
KCJ,Komaio,Komaio,Papua New Guinea,,,,,,,
KUX,Kuyol,Kuyol,Papua New Guinea,,,,,,,
UIK,Ust-Ilimsk,Ust-Ilimsk,Russian Federation,,,,,,,
HNL,Honolulu International,Honolulu,United States,,,,,,,
LBL,Municipal,Liberal,United States,,,,,,,
BGR,Bangor International Airport,Bangor,United States,,,,,,,
BAZ,Barbelos,Barbelos,Brazil,,,,,,,
CAW,Bartolomeu Lisandro,Campos,Brazil,,,,,,,
ZTB,Tete-a-La Baleine,Tete-a-La Baleine,Canada,,,,,,,
HCM,Eil,Eil,Somalia,,,,,,,
LAK,Aklavik,Aklavik,Canada,,,,,,,
ZLT,La Tabatiere,La Tabatiere,Canada,,,,,,,
YOW,Ottawa Macdonald-Cartier International,Ottawa,Canada,,,,,,,
PKU,Sultan Syarif Kasim Ii,Pekanbaru,Indonesia,,,,,,,
LPQ,Luang Prabang,Luang Prabang,Laos,,,,,,,
RUK,Rukumkot,Rukumkot,Nepal,,,,,,,
CWI,Clinton,Clinton,United States,,,,,,,
NGN,Nargana,Nargana,Panama,,,,,,,
VST,Vasteras/Hasslo,Stockholm,Sweden,,,,,,,
EGP,Maverick Co,Eagle Pass,United States,,,,,,,
HID,Horn Island,Horn Island,Australia,,,,,,,
LPB,El Alto,La Paz,Bolivia,,,,,,,
SQL,San Carlos,San Carlos,United States,,,,,,,
SXY,Sidney,Sidney,United States,,,,,,,
TMJ,Termez,Termez,Uzbekistan,,,,,,,
THU,Pituffik,Pituffik,Greenland,,,,,,,
SAP,Ramon Villeda Morales International,San Pedro Sula,Honduras,,,,,,,
YBV,Berens River,Berens River,Canada,,,,,,,
RAI,Francisco Mendes,Praia,Cape Verde,,,,,,,
NNG,Nanning,Nanning,China,,,,,,,
PVO,Reales Tamarindos,Portoviejo,Ecuador,,,,,,,
SBU,Springbok,Springbok,South Africa,,,,,,,
PBM,Zanderij Intl,Paramaribo,Suriname,,,,,,,
HYC,High Wycombe,High Wycombe,United Kingdom,,,,,,,
ZSH,Bus Station,Santa Fe,United States,,,,,,,
DIN,Dien Bien,Dien Bien Phu,Viet Nam,,,,,,,
YLT,Alert,Alert,Canada,,,,,,,
ZQS,Queen Charlotte Is,Queen Charlotte Is,Canada,,,,,,,
MIX,Miriti,Miriti,Colombia,,,,,,,
BRQ,Turany,Brno,Czech Republic,,,,,,,
SCD,Sulaco,Sulaco,Honduras,,,,,,,
IXJ,Satwari,Jammu,India,,,,,,,
IHR,Iran Shahr,Iran Shahr,Iran,,,,,,,
KID,Kristianstad,Kristianstad,Sweden,,,,,,,
ZBP,Baltimore Rail,Baltimore,United States,,,,,,,
BOW,Bartow,Bartow,United States,,,,,,,
CCQ,Cachoeira,Cachoeira,Brazil,,,,,,,
FEJ,Feijo,Feijo,Brazil,,,,,,,
THE,Senador Petrônio Portella,Teresina,Brazil,,,,,,,
IXC,Chandigarh,Chandigarh,India,,,,,,,
DBD,Dhanbad,Dhanbad,India,,,,,,,
ACN,International,Ciudad Acuna,Mexico,,,,,,,
AVK,Arvaikheer,Arvaikheer,Mongolia,,,,,,,
GEA,Magenta,Noumea,New Caledonia,,,,,,,
JBP,Commerce Bus. Plaza,Los Angeles,United States,,,,,,,
CRO,Corcoran,Corcoran,United States,,,,,,,
FBD,Faizabad,Faizabad,Afghanistan,,,,,,,
PHE,Port Hedland,Port Hedland,Australia,,,,,,,
YTG,Sullivan Bay,Sullivan Bay,Canada,,,,,,,
WUH,Tianhe International,Wuhan,China,,,,,,,
XEN,Xingcheng,Xingcheng,China,,,,,,,
BGB,Booue,Booue,Gabon,,,,,,,
INY,Inyati,Inyati,South Africa,,,,,,,
LAW,Municipal,Lawton,United States,,,,,,,
FMG,Flamingo,Flamingo,Costa Rica,,,,,,,
OLO,Olomouc,Olomouc,Czech Republic,,,,,,,
KXU,Katiu,Katiu,French Polynesia,,,,,,,
SPM,Spangdahlem,Spangdahlem,Germany,,,,,,,
ECA,Emmet County Airport,East Tawas,United States,,,,,,,
PVD,T. F. Green Airport,Providence,United States,,,,,,,
LBM,Luabo,Luabo,Mozambique,,,,,,,
YAT,Attawapiskat,Attawapiskat,Canada,,,,,,,
YWF,Dwtown Waterfront H/P,Halifax,Canada,,,,,,,
ZPB,Sachigo Lake,Sachigo Lake,Canada,,,,,,,
AEH,Abecher,Abecher,Chad,,,,,,,
HME,Oued Irara Apt,Hassi Messaoud,Algeria,,,,,,,
KKJ,Kita Kyushu,Kita Kyushu,Japan,,,,,,,
VNO,Vilnius,Vilnius,Lithuania,,,,,,,
GBS,Port Fitzroy,Port Fitzroy,New Zealand,,,,,,,
MQO,Malam,Malam,Papua New Guinea,,,,,,,
NRR,Roosevelt NAS,Roosevelt Roads,Puerto Rico,,,,,,,
KLZ,Kleinzee,Kleinzee,South Africa,,,,,,,
EDW,Edwards AFB,Edwards AFB,United States,,,,,,,
MQX,Makale,Makale,Ethiopia,,,,,,,
PKY,Palangkaraya,Palangkaraya,Indonesia,,,,,,,
CBI,Cape Barren Island,Cape Barren Island,Australia,,,,,,,
CMH,Port Columbus Intl,Columbus,United States,,,,,,,
POY,Powell,Powell,United States,,,,,,,
UPC,Puerto La Cruz,Puerto La Cruz,Venezuela,,,,,,,
CHT,Karewa,Chatham Island,New Zealand,,,,,,,
MJJ,Moki,Moki,Papua New Guinea,,,,,,,
POJ,Patos De Minas,Patos De Minas,Brazil,,,,,,,
YIF,Pakuashipi,Pakuashipi,Canada,,,,,,,
YRR,Stuart Island,Stuart Island,Canada,,,,,,,
LTL,Lastourville,Lastourville,Gabon,,,,,,,
OMK,Municipal,Omak,United States,,,,,,,
KEB,Nanwalek,Nanwalek,United States,,,,,,,
TEK,Tatitlek,Tatitlek,United States,,,,,,,
RRA,Ronda,Ronda,Spain,,,,,,,
GBD,Great Bend,Great Bend,United States,,,,,,,
FYM,Municipal,Fayetteville,United States,,,,,,,
VDM,Viedma,Viedma,Argentina,,,,,,,
KYK,Karluk,Karluk,United States,,,,,,,
KLW,Klawock,Klawock,United States,,,,,,,
NGR,Ningerum,Ningerum,Papua New Guinea,,,,,,,
NAZ,Nana,Star Habour,Solomon Islands,,,,,,,
MZG,Makung,Makung,Taiwan,,,,,,,
GWE,Gweru,Gweru,Zimbabwe,,,,,,,
MJU,Mamuju,Mamuju,Indonesia,,,,,,,
BCZ,Bickerton Island,Bickerton Island,Australia,,,,,,,
GPN,Garden Point,Garden Point,Australia,,,,,,,
VCP,Viracopos,"Campinas, Sao Paulo",Brazil,,,,,,,
ROU,Rousse,Rousse,Bulgaria,,,,,,,
YGV,Havre St Pierre,Havre St Pierre,Canada,,,,,,,
KAD,Kaduna,Kaduna,Nigeria,,,,,,,
SUB,Juanda,Surabaya,Indonesia,,,,,,,
MWK,Matak,Matak,Indonesia,,,,,,,
IVG,Ivangrad,Berane,Montenegro,,,,,,,
LSH,Lashio,Lashio,Myanmar,,,,,,,
RKU,Kairuku,Yule Island,Papua New Guinea,,,,,,,
PPX,Param,Param,Papua New Guinea,,,,,,,
EML,Emmen,Luzern,Switzerland,,,,,,,
SNO,Sakon Nakhon,Sakon Nakhon,Thailand,,,,,,,
LTH,Lathrop Wells,Lathrop Wells,United States,,,,,,,
KKW,Kikwit,Kikwit,Zaire,,,,,,,
DPE,Dieppe,Dieppe,France,,,,,,,
MJR,Miramar,Miramar,Argentina,,,,,,,
SGP,Shay Gap,Shay Gap,Australia,,,,,,,
BHY,Beihai,Beihai,China,,,,,,,
ORC,Orocue,Orocue,Colombia,,,,,,,
BUI,Bokondini,Bokondini,Indonesia,,,,,,,
DFW,Dallas/Fort Worth International,"Dallas, TX",United States,,,,,,,
DMN,Deming,Deming,United States,,,,,,,
BIX,Keesler AFB,Biloxi,United States,,,,,,,
TOR,Municipal,Torrington,United States,,,,,,,
RKH,Rock Hill,Rock Hill,United States,,,,,,,
NHA,Nha Trang,Nha Trang,Viet Nam,,,,,,,
SWG,Satwag,Satwag,Papua New Guinea,,,,,,,
RRI,Barora,Barora,Solomon Islands,,,,,,,
AQM,Ariquemes,Ariquemes,Brazil,,,,,,,
YBA,Banff,Banff,Canada,,,,,,,
XCM,Chatham,Chatham,Canada,,,,,,,
TNT,Dade Collier,Miami,United States,,,,,,,
SRS,Cartagena,San Marcos,Colombia,,,,,,,
TBD,Timbiqui,Timbiqui,Colombia,,,,,,,
PYO,Putumayo,Putumayo,Ecuador,,,,,,,
PUK,Pukarua,Pukarua,French Polynesia,,,,,,,
LLH,Las Limas,Las Limas,Honduras,,,,,,,
KIX,Kansai International,Osaka,Japan,,,,,,,
NQL,Niquelandia,Niquelandia,Brazil,,,,,,,
YKT,Klemtu,Klemtu,Canada,,,,,,,
RZS,Sawan,Sawan,Pakistan,,,,,,,
RGE,Porgera,Porgera,Papua New Guinea,,,,,,,
XMI,Masasi,Masasi,Tanzania,,,,,,,
IKB,Wilkes County,Wilkesboro,United States,,,,,,,
MQU,Mariquita,Mariquita,Colombia,,,,,,,
MVT,Mataiva,Mataiva,French Polynesia,,,,,,,
TBH,Romblon,Tablas,Philippines,,,,,,,
LOE,Loei,Loei,Thailand,,,,,,,
FEP,Albertus,Freeport,United States,,,,,,,
ESU,Essaouira,Essaouira,Morocco,,,,,,,
FLE,Fort Lee AAF,Petersburg,United States,,,,,,,
JBS,Hacienda Bus.Park H/P,Pleasanton,United States,,,,,,,
OGV,Ongava Game Reserve,Ongava Game Reserve,Namibia,,,,,,,
SYW,Sehwen Sharif,Sehwen Sharif,Pakistan,,,,,,,
BBD,Curtis Field,Brady,United States,,,,,,,
TBC,Tuba City,Tuba City,United States,,,,,,,
LYE,RAF Station,Lyneham,United Kingdom,,,,,,,
KNS,King Island,"King Island, Tasmania",Australia,,,,,,,
XBB,Blubber Bay,Blubber Bay,Canada,,,,,,,
ZAC,York Landing,York Landing,Canada,,,,,,,
CCK,Cocos Islands,Cocos Islands,Cocos,,,,,,,
SOX,Alberto Lleras Camargo,Sogamoso,Colombia,,,,,,,
MMP,Mompos,Mompos,Colombia,,,,,,,
IKP,Inkerman,Inkerman,Australia,,,,,,,
ITR,Hidroeletrica,Itumbiara,Brazil,,,,,,,
PLL,Ponta Pelada,Manaus,Brazil,,,,,,,
KYT,Kyauktaw,Kyauktaw,Myanmar,,,,,,,
JMS,Jamestown,Jamestown,United States,,,,,,,
MCF,Mac Dill AFB,Tampa,United States,,,,,,,
COV,Covilha,Covilha,Portugal,,,,,,,
IKS,Tiksi,Tiksi,Russian Federation,,,,,,,
PTB,Municipal,Petersburg,United States,,,,,,,
EDK,El Dorado,El Dorado,United States,,,,,,,
CSV,Memorial,Crossville,United States,,,,,,,
GRE,Municipal,Greenville,United States,,,,,,,
MVZ,Masvingo,Masvingo,Zimbabwe,,,,,,,
PPY,Pouso Alegre,Pouso Alegre,Brazil,,,,,,,
YGX,Gillam,Gillam,Canada,,,,,,,
KNU,Kanpur,Kanpur,India,,,,,,,
TKU,Turku,Turku,Finland,,,,,,,
TUB,Tubuai,Tubuai,French Polynesia,,,,,,,
QDU,Station,Dusseldorf,Germany,,,,,,,
MYQ,Mysore,Mysore,India,,,,,,,
HOB,Lea County,Hobbs,United States,,,,,,,
EOR,El Dorado,El Dorado,Venezuela,,,,,,,
RAX,Oram,Oram,Papua New Guinea,,,,,,,
TCJ,Torembi Airport,Torembi,Papua New Guinea,,,,,,,
VRC,Virac,Virac,Philippines,,,,,,,
CPV,Joao Suassuna,Campina Grande,Brazil,,,,,,,
TBA,Tabibuga,Tabibuga,Papua New Guinea,,,,,,,
NSP,NAF,Sangley Point,Philippines,,,,,,,
BSY,Bardera,Bardera,Somalia,,,,,,,
CLV,Caldas Novas,Caldas Novas,Brazil,,,,,,,
